conf_val,fit_m,fit_b,cov_m,cov_b,cov_corr,root_mean_square,root_mean_log_square_error,mean_log_abs_diff
0.34,0.4566591577914299,79.9031187230617,5.322029115408665e-05,925.8086079439767,-0.009810042223870705,2810.031116627041,0.614019285357188,6.114922369864882
0.35000000000000003,0.4565840160786109,76.71158086735633,5.25475334577299e-05,914.1054614026632,-0.00968603348087857,2809.9227081999543,0.6034387928974742,6.067500440985344
0.36,0.4564741039898456,74.1054661156968,5.2330808003207604e-05,910.3353525399292,-0.009646084697928554,2816.82685221612,0.5971634634027524,6.1390342577722645
0.37,0.45630178099047974,71.98979179810615,5.2297548186815e-05,909.7567720089478,-0.009639953949747844,2824.3758327980267,0.5903312047929872,6.127747546068491
0.38,0.45613971083550514,70.48603811848162,5.237271559593209e-05,911.0643679068352,-0.009653809481938804,2830.4649691631644,0.5893081736965678,6.153322679183258
0.39,0.45596416233941145,68.76557731755396,5.186355256939336e-05,902.2070786550426,-0.009559955978305817,2843.9691185723636,0.5875717177570852,6.177879568216521
0.4,0.4557769601352045,66.05502833933045,5.1706432283225474e-05,899.4738483351314,-0.00953099415551024,2847.1741313005923,0.5793520084715937,6.155160996327506
0.41000000000000003,0.4554982158041942,65.29206881152643,5.1515035996646016e-05,896.1443601680947,-0.009495714272365664,2859.380521484874,0.5789750010913659,6.147095575274659
0.42,0.45521862031125276,62.76132419135576,5.0635957131267064e-05,880.85209545137,-0.009333674557804318,2874.61778998674,0.5659397058557107,6.121516188989071
0.43,0.4549652887411091,58.31480319411012,5.0598765367611417e-05,880.2051156211146,-0.00932681903777746,2891.708732832441,0.545135350224038,6.089117472418536
0.44,0.454576041998497,55.9389791156147,4.942100373329534e-05,859.7170304282124,-0.009109723431726675,2911.819441933679,0.53989935154607,6.073556450304634
0.45,0.45413209153631046,54.65779643636541,4.852944748304094e-05,844.207711838391,-0.008945383773481872,2938.5256018135915,0.533785722626734,6.081973089355907
0.46,0.45367460847555374,50.57993993942629,4.78380882563851e-05,832.1809771223726,-0.008817946229299335,2958.8065596968477,0.5195125311333164,6.03119975186743
0.47000000000000003,0.45319147984550634,49.00699078136277,4.700126349468463e-05,817.6237556017331,-0.008663695170760512,2949.309662544637,0.515879268820671,6.085364365107986
0.48,0.4525644011433781,46.736438029788545,4.579260895820919e-05,796.5982642029778,-0.00844090510742606,2993.5256203635668,0.5099182620963603,6.143875774794094
0.49,0.45179879317268096,44.25643386070813,4.3818654610348633e-05,762.259783760497,-0.008077048107011695,3020.9731383240687,0.5018729118889652,6.162163154870669
0.5,0.4507068785923114,42.900816390628364,4.320716179200814e-05,751.6223877102486,-0.007964332256770554,3045.2918109613074,0.49746603454402777,6.1680903022577285
0.51,0.44899557526579004,38.46001943680374,4.11372085586768e-05,715.6139315386881,-0.007582779879283065,3073.314412908601,0.4878521054575793,6.19377191224422
